"Step","PPI_Affinity + DGL_GAT - training loss","PPI_Affinity + DGL_GAT - training loss__MIN","PPI_Affinity + DGL_GAT - training loss__MAX","PPI_Affinity + CNN_RNN - training loss","PPI_Affinity + CNN_RNN - training loss__MIN","PPI_Affinity + CNN_RNN - training loss__MAX","PPI_Affinity + Transformer - training loss","PPI_Affinity + Transformer - training loss__MIN","PPI_Affinity + Transformer - training loss__MAX","PPI_Affinity + CNN - training loss","PPI_Affinity + CNN - training loss__MIN","PPI_Affinity + CNN - training loss__MAX"
"138","8.348673582077026","5.549046993255615","11.148300170898438","2.291224718093872","2.0594475269317627","2.5230019092559814","2.8125903606414795","1.7465729713439941","3.878607749938965","4.209164381027222","3.997921943664551","4.420406818389893"
"140","4.645212888717651","2.62030029296875","6.670125484466553","1.4119502305984497","1.3364005088806152","1.4874999523162842","3.1302541494369507","2.7267367839813232","3.533771514892578","3.2436435222625732","3.2230422496795654","3.264244794845581"
"142","9.72448444366455","9.128498077392578","10.320470809936523","3.3547247648239136","2.688490152359009","4.020959377288818","1.8639265298843384","1.8263531923294067","1.90149986743927","2.155575752258301","2.02518367767334","2.2859678268432617"
"144","6.051392078399658","4.03385066986084","8.068933486938477","3.454168200492859","2.7565853595733643","4.1517510414123535","3.49117910861969","2.727715253829956","4.254642963409424","2.8212719559669495","1.0839353799819946","4.558608531951904"
"146","9.601150512695312","6.376922607421875","12.82537841796875","2.101589560508728","1.741304874420166","2.46187424659729","1.7583040595054626","1.5146292448043823","2.001978874206543","1.9725297689437866","1.441540241241455","2.503519296646118"
"148","7.5270562171936035","7.0435791015625","8.010533332824707","1.821870744228363","1.1981281042099","2.445613384246826","1.4491461515426636","1.1331015825271606","1.7651907205581665","1.4066371619701385","0.9664282202720642","1.846846103668213"
"150","8.620617389678955","8.031173706054688","9.210061073303223","1.4404786229133606","1.3275389671325684","1.5534182786941528","1.7684462666511536","1.468619704246521","2.068272829055786","1.7139518857002258","1.3089078664779663","2.1189959049224854"
"152","8.03200101852417","4.180962562561035","11.883039474487305","1.497028410434723","1.3876570463180542","1.6063997745513916","3.5024315118789673","3.0988948345184326","3.905968189239502","2.077696204185486","1.8642709255218506","2.291121482849121"
"154","5.026827335357666","5.026827335357666","5.026827335357666","1.0549198687076569","0.7297206521034241","1.3801190853118896","3.0155168771743774","2.673598289489746","3.357435464859009","2.951184332370758","1.7705150842666626","4.1318535804748535"
"156","3.7432949542999268","3.367412567138672","4.119177341461182","2.1606194376945496","1.5004721879959106","2.8207666873931885","3.2952592372894287","2.0332374572753906","4.557281017303467","2.820149064064026","1.7125327587127686","3.927765369415283"
"158","8.861239671707153","7.034260272979736","10.68821907043457","1.9392892122268677","1.225935697555542","2.6526427268981934","1.9928642511367798","1.7366142272949219","2.2491142749786377","2.275045394897461","2.2171928882598877","2.332897901535034"
"160","6.2297515869140625","4.015488624572754","8.444014549255371","2.186881422996521","1.950526475906372","2.42323637008667","2.7190834283828735","1.862882137298584","3.575284719467163","2.984332799911499","2.3113393783569336","3.6573262214660645"
"162","3.9083595275878906","2.93687105178833","4.879848003387451","2.3837658166885376","2.016000509262085","2.7515311241149902","2.0003129839897156","1.1541084051132202","2.846517562866211","2.0351824164390564","1.8826109170913696","2.187753915786743"
"164","5.634397268295288","4.601981163024902","6.666813373565674","2.23004013299942","1.2896512746810913","3.170428991317749","2.2566956281661987","1.9738445281982422","2.5395467281341553","1.8807798027992249","1.7096723318099976","2.051887273788452"
"166","6.7408270835876465","4.1613311767578125","9.32032299041748","1.637784481048584","1.6218260526657104","1.6537429094314575","1.8565630316734314","1.644368290901184","2.0687577724456787","1.974951446056366","1.8474074602127075","2.1024954319000244"
"168","5.741041421890259","5.107858657836914","6.3742241859436035","1.180666208267212","1.0420774221420288","1.319254994392395","3.4375076293945312","3.159332275390625","3.7156829833984375","2.443298876285553","1.633459448814392","3.253138303756714"
"170","4.624922037124634","3.0013608932495117","6.248483180999756","2.763675034046173","1.8912009000778198","3.6361491680145264","2.77113139629364","2.367103099822998","3.1751596927642822","2.1920008659362793","1.4605941772460938","2.923407554626465"
"172","7.169750452041626","7.068446636199951","7.271054267883301","1.6126715540885925","1.3384648561477661","1.886878252029419","2.815028488636017","1.9287632703781128","3.701293706893921","2.085603415966034","1.3378840684890747","2.833322763442993"
"174","5.8568267822265625","5.41899299621582","6.294660568237305","2.586538791656494","1.779881477355957","3.3931961059570312","1.6856753826141357","1.682370662689209","1.6889801025390625","3.0880625247955322","2.114508628845215","4.06161642074585"
"176","8.219490766525269","4.8515238761901855","11.587457656860352","3.8577529191970825","3.850623846054077","3.864881992340088","2.338064432144165","1.2303886413574219","3.445740222930908","3.1910871267318726","1.0973680019378662","5.284806251525879"
"178","3.006216883659363","2.1197800636291504","3.892653703689575","4.248268246650696","3.2734320163726807","5.223104476928711","3.168095588684082","2.284268856048584","4.05192232131958","1.899321436882019","1.5658957958221436","2.2327470779418945"
"180","6.432742357254028","6.172265529632568","6.693219184875488","1.614946961402893","1.127547025680542","2.102346897125244","1.2263318300247192","1.0460411310195923","1.4066225290298462","2.544645667076111","2.497126579284668","2.5921647548675537"
"182","6.533293724060059","5.298824787139893","7.767762660980225","0.9689619839191437","0.9465688467025757","0.9913551211357117","2.4066669940948486","2.15034556388855","2.6629884243011475","2.6666834354400635","2.637355327606201","2.696011543273926"
"184","5.233807682991028","3.3274929523468018","7.140122413635254","1.7827873826026917","1.7164926528930664","1.849082112312317","1.9884821772575378","1.4044893980026245","2.572474956512451","1.5325382351875305","1.0291162729263306","2.0359601974487305"
"186","8.957196712493896","5.965627670288086","11.948765754699707","1.8604252338409424","1.0694434642791748","2.65140700340271","1.9618768393993378","0.8445417284965515","3.079211950302124","1.8978888988494873","1.4539823532104492","2.3417954444885254"
"188","3.781278133392334","3.3561315536499023","4.206424713134766","3.1346386671066284","1.8584716320037842","4.410805702209473","1.967820942401886","1.8179625272750854","2.1176793575286865","1.0907921493053436","0.781402051448822","1.4001822471618652"
"190","3.1919052600860596","2.968364953994751","3.415445566177368","1.6684602499008179","1.3481358289718628","1.988784670829773","3.0960919857025146","2.086582660675049","4.1056013107299805","4.4305115938186646","3.823465585708618","5.037557601928711"
"192","4.4142104387283325","3.337191343307495","5.49122953414917","1.9030630588531494","1.1942644119262695","2.6118617057800293","2.406251311302185","2.151705265045166","2.660797357559204","3.047520637512207","1.8790063858032227","4.216034889221191"
"194","3.7332847118377686","2.111633777618408","5.354935646057129","1.5441281199455261","1.479843020439148","1.6084132194519043","2.4157174825668335","1.3828155994415283","3.4486193656921387","2.1943087577819824","1.8815803527832031","2.5070371627807617"
"196","6.517039060592651","6.331359386444092","6.702718734741211","2.834925413131714","2.213575839996338","3.45627498626709","3.2448126077651978","2.4653728008270264","4.024252414703369","2.319858133792877","1.701860785484314","2.9378554821014404"
"198","4.793335556983948","2.604088544845581","6.9825825691223145","2.679849684238434","1.7352896928787231","3.6244096755981445","1.05687615275383","0.788970410823822","1.324781894683838","2.4823831915855408","1.7209829092025757","3.243783473968506"
