"Step","SAbDab_Chen + DGL_GCN - MSE","SAbDab_Chen + DGL_GCN - MSE__MIN","SAbDab_Chen + DGL_GCN - MSE__MAX","SAbDab_Chen + Transformer - MSE","SAbDab_Chen + Transformer - MSE__MIN","SAbDab_Chen + Transformer - MSE__MAX","SAbDab_Chen + CNN_RNN - MSE","SAbDab_Chen + CNN_RNN - MSE__MIN","SAbDab_Chen + CNN_RNN - MSE__MAX","SAbDab_Chen + CNN - MSE","SAbDab_Chen + CNN - MSE__MIN","SAbDab_Chen + CNN - MSE__MAX"
"21","0.26177138834711544","0.23363079309023943","0.2899119836039915","0.1481818602993278","0.14633912655469347","0.15002459404396215","0.12162991463883133","0.1210278879212183","0.12223194135644436","0.10143469368222457","0.09642078989326805","0.1064485974711811"
"23","0.2707399896999385","0.2482476243436477","0.2932323550562293","0.14870229608121482","0.14794889696626098","0.1494556951961687","0.11574554276754156","0.1116716264187832","0.11981945911629995","0.09732699684775595","0.09308911525824806","0.10156487843726383"
"25","0.2549420971170562","0.25249174169098954","0.2573924525431228","0.14889007167148027","0.14519538574731564","0.15258475759564494","0.11521667045002781","0.11500747440876682","0.1154258664912888","0.10229521420464321","0.09644573129499942","0.10814469711428702"
"27","0.21046792243505197","0.20414126909690358","0.21679457577320035","0.1507085706092508","0.14904572417793774","0.1523714170405639","0.11799512588419359","0.11703567991415469","0.1189545718542325","0.09685461016561309","0.09416524068958092","0.09954397964164527"
"29","0.2715701102756344","0.202365408682705","0.34077481186856373","0.15117581018507864","0.14333204591847426","0.15901957445168302","0.11200605772765908","0.11135337161119765","0.1126587438441205","0.09535445886268387","0.09460035515107505","0.0961085625742927"
"31","0.21180919993547637","0.20626166246648286","0.2173567374044699","0.14728435865165795","0.14413522304142826","0.15043349426188762","0.11516132260936957","0.11472851490099913","0.11559413031774","0.09399015943901004","0.09382035285153699","0.09415996602648308"
"33","0.21926465167817144","0.20766625911280695","0.2308630442435359","0.15202963010424353","0.14354019268470178","0.16051906752378528","0.1132107037170389","0.11305770160249469","0.11336370583158312","0.09389837153276867","0.09334443195252178","0.09445231111301557"
"35","0.2225409495998345","0.1974804191344085","0.24760148006526048","0.15102341938558705","0.1468956966238281","0.15515114214734602","0.11012260022658002","0.10904378129275746","0.11120141916040256","0.09654326728993229","0.09205963970609693","0.10102689487376765"
"37","0.2562758819861847","0.20932182668443933","0.30322993728792996","0.14475299878407683","0.14001319945790214","0.1494927981102515","0.10953219641988818","0.10538215933317586","0.11368223350660049","0.09652931874541648","0.09363404274122383","0.09942459474960913"
"39","0.2354333201483303","0.22627499071105953","0.2445916495856011","0.14784818279968895","0.14421809955407316","0.15147826604530473","0.11994722021871781","0.11547749142938538","0.12441694900805024","0.09453634406066738","0.09123288728491075","0.09783980083642402"
