"Step","SAbDab_Liberis + Token_Transformer - training loss","SAbDab_Liberis + Token_Transformer - training loss__MIN","SAbDab_Liberis + Token_Transformer - training loss__MAX","SAbDab_Liberis + Token_CNN_RNN - training loss","SAbDab_Liberis + Token_CNN_RNN - training loss__MIN","SAbDab_Liberis + Token_CNN_RNN - training loss__MAX","SAbDab_Liberis + Token_CNN - training loss","SAbDab_Liberis + Token_CNN - training loss__MIN","SAbDab_Liberis + Token_CNN - training loss__MAX"
"60","0.07947277277708054","0.0792626142501831","0.07968293130397797","0.0008808794373180717","0.0006415708339773118","0.0011201880406588316","0.011351339519023895","0.010388060472905636","0.012314618565142155"
"62","0.0798843502998352","0.07983780652284622","0.07993089407682419","0.00038242089794948697","0.00033266976242884994","0.000432172033470124","0.01051624771207571","0.009222965687513351","0.01180952973663807"
"64","0.07980484515428543","0.07937063276767731","0.08023905754089355","0.000877162630786188","0.0004565442504826933","0.0012977810110896826","0.01014623511582613","0.008550368249416351","0.011742101982235909"
"66","0.0798335038125515","0.0793006643652916","0.0803663432598114","0.0005078861868241802","0.00019466367666609585","0.0008211086969822645","0.010582529939711094","0.008877063170075417","0.012287996709346771"
"68","0.07978403195738792","0.07974943518638611","0.07981862872838974","0.0005627709324471653","0.0005551500362344086","0.0005703918286599219","0.01054447516798973","0.009249567054212093","0.011839383281767368"
"70","0.0798974446952343","0.07971148937940598","0.08008340001106262","0.000401600482291542","0.0002908325695898384","0.0005123683949932456","0.009532835334539413","0.008770139887928963","0.010295530781149864"
"72","0.07957448810338974","0.07862754166126251","0.08052143454551697","0.0007064785750117153","0.0004440906341187656","0.000968866515904665","0.012306817341595888","0.009364736266434193","0.015248898416757584"
"74","0.07925394922494888","0.0790189653635025","0.07948893308639526","0.0011300762416794896","0.0010600766399875283","0.001200075843371451","0.009242879692465067","0.00876760296523571","0.009718156419694424"
"76","0.07953903079032898","0.07880130410194397","0.08027675747871399","0.000729941442841664","0.00043903739424422383","0.001020845491439104","0.0089954505674541","0.007429489865899086","0.010561411269009113"
"78","0.07848676294088364","0.07843833416700363","0.07853519171476364","0.0004700211138697341","0.00013602824765257537","0.0008040139800868928","0.008327614516019821","0.006608895026147366","0.010046334005892277"
"80","0.07902437821030617","0.07817187905311584","0.07987687736749649","0.00028409395599737763","0.0001667341566644609","0.00040145375533029437","0.008668718161061406","0.006637836340814829","0.010699599981307983"
"82","0.07940061762928963","0.07845279574394226","0.080348439514637","0.0004974958137609065","0.00018107442883774638","0.0008139171986840665","0.00818018289282918","0.006735216826200485","0.009625148959457874"
"84","0.07876810431480408","0.07876483350992203","0.07877137511968613","0.0008049908210523427","0.0005958831170573831","0.0010140985250473022","0.007277613505721092","0.006815286818891764","0.007739940192550421"
"86","0.07883387804031372","0.07855044305324554","0.0791173130273819","0.0008588891723775305","0.0002009348972933367","0.0015168434474617243","0.007774432189762592","0.007652632892131805","0.00789623148739338"
"88","0.07875948771834373","0.07843557000160217","0.0790834054350853","0.0006714338232995942","0.0002340898208785802","0.0011087778257206082","0.008188454201444983","0.007277443539351225","0.009099464863538742"
"90","0.07856312394142151","0.07831843942403793","0.07880780845880508","0.00022602359240408987","0.00017775516607798636","0.0002742920187301934","0.008554028579965234","0.0077553740702569485","0.00935268308967352"
"92","0.07876412943005562","0.0780835822224617","0.07944467663764954","0.0003952306287828833","0.0003677094355225563","0.00042275182204321027","0.0068023898638784885","0.006598574575036764","0.007006205152720213"
"94","0.07847291603684425","0.077954962849617","0.0789908692240715","0.0006252061284612864","0.00006716017378494143","0.0011832520831376314","0.006648943526670337","0.005981487687677145","0.0073163993656635284"
"96","0.07841303572058678","0.07764238119125366","0.07918369024991989","0.00018478229685570113","0.0001041630093823187","0.00026540158432908356","0.007675203727558255","0.0069264317862689495","0.008423975668847561"
"98","0.07948023080825806","0.07912913709878922","0.0798313245177269","0.00017371268768329173","0.00016840353782754391","0.00017902183753903955","0.009156565414741635","0.0067854332737624645","0.011527697555720806"
"100","0.07790036126971245","0.07756244391202927","0.07823827862739563","0.0005724970251321793","0.000569308060221374","0.0005756859900429845","0.00662249606102705","0.005942497402429581","0.007302494719624519"
"102","0.07830986008048058","0.07787366956472397","0.07874605059623718","0.000563506007893011","0.00028897239826619625","0.0008380396175198257","0.009221003856509924","0.008352302946150303","0.010089704766869545"
"104","0.07768192887306213","0.07745007425546646","0.0779137834906578","0.00044971749593969434","0.000284932175418362","0.0006145028164610267","0.007364661665633321","0.005532932933419943","0.009196390397846699"
"106","0.07783546298742294","0.07778859883546829","0.0778823271393776","0.00022689795878250152","0.0002172180829802528","0.00023657783458475024","0.005789575167000294","0.004937791731208563","0.006641358602792025"
"108","0.07746787741780281","0.07700970023870468","0.07792605459690094","0.0010304975730832666","0.00022253248607739806","0.0018384626600891352","0.006857661763206124","0.00527417054399848","0.008441152982413769"
"110","0.07732591778039932","0.07722153514623642","0.07743030041456223","0.0001667845863266848","0.00010480458149686456","0.00022876459115650505","0.005209431052207947","0.004387416876852512","0.006031445227563381"
"112","0.0771741010248661","0.07656565308570862","0.07778254896402359","0.00011723110947059467","0.00008906448783818632","0.00014539773110300303","0.007356843678280711","0.004419207107275724","0.010294480249285698"
"114","0.07639911770820618","0.07601677626371384","0.07678145915269852","0.00009906219929689541","0.00008894299389794469","0.00010918140469584614","0.007976690772920847","0.004763161763548851","0.011190219782292843"
"116","0.07655013725161552","0.07630438357591629","0.07679589092731476","0.00008415440242970362","0.00007646681478945538","0.00009184199006995186","0.004782437346875668","0.0038929865695536137","0.0056718881241977215"
"118","0.07692230865359306","0.07664381712675095","0.07720080018043518","0.0001928859383042436","0.000078016564657446","0.0003077553119510412","0.004968899302184582","0.004965849686414003","0.00497194891795516"
"120","0.07664189860224724","0.07613314688205719","0.07715065032243729","0.00006728680818923749","0.000023643995518796146","0.00011092962085967883","0.0040983473882079124","0.003384412731975317","0.004812282044440508"
"122","0.07684274390339851","0.07669304311275482","0.0769924446940422","0.00006990044312260579","0.00004231017010170035","0.00009749071614351124","0.0035504120169207454","0.0034893318079411983","0.0036114922259002924"
"124","0.076596450060606","0.07649855315685272","0.07669434696435928","0.00010095216566696763","0.00009092889376915991","0.00011097543756477535","0.003942489041946828","0.0030538926366716623","0.004831085447221994"
"126","0.07624008134007454","0.07590142637491226","0.07657873630523682","0.00006956055585760623","0.00002254287392133847","0.000116578237793874","0.003421416273340583","0.002469258848577738","0.004373573698103428"
"128","0.07606661692261696","0.07534799724817276","0.07678523659706116","0.00014224188998923637","0.00007901794015197083","0.0002054658398265019","0.004861844703555107","0.002631482668220997","0.007092206738889217"
"130","0.07610156387090683","0.07596420496702194","0.07623892277479172","0.00008241980503953528","0.000035357745218789205","0.00012948186486028135","0.0036542651941999793","0.002487239660695195","0.004821290727704763"
"132","0.07553316280245781","0.07494073361158371","0.07612559199333191","0.000260677436926926","0.00002948453948192764","0.0004918703343719244","0.004500622628256679","0.0038032056763768196","0.0051980395801365376"
"134","0.07583566755056381","0.07564008980989456","0.07603124529123306","0.0001798986086214427","0.00004926670953864232","0.00031053050770424306","0.003727976931259036","0.0027327602729201317","0.0047231935895979404"
"136","0.07639122754335403","0.07579238712787628","0.07699006795883179","0.00008047378287301399","0.00006174525333335623","0.00009920231241267174","0.0028997752815485","0.0028051957488059998","0.0029943548142910004"
"138","0.07502283900976181","0.07495444267988205","0.07509123533964157","0.00043750176700996235","0.00019218686793465167","0.000682816666085273","0.003147522220388055","0.0031019910238683224","0.0031930534169077873"
"140","0.07533469051122665","0.07505951076745987","0.07560987025499344","0.00006983597450016532","0.000035367065720492974","0.00010430488327983767","0.003279388416558504","0.003003761637955904","0.003555015195161104"
"142","0.0748843178153038","0.07471419125795364","0.07505444437265396","0.00018284878024132922","0.00012687024718616158","0.00023882731329649687","0.0030330094741657376","0.0029699814040213823","0.003096037544310093"
"144","0.07504654303193092","0.0737040713429451","0.07638901472091675","0.0003241107187932357","0.0002042365085799247","0.00044398492900654674","0.004064730019308627","0.0038622792344540358","0.0042671808041632175"
"146","0.074059147387743","0.07347565144300461","0.07464264333248138","0.00005961183342151344","0.000021374122297856957","0.00009784954454516992","0.002975060255266726","0.00296790711581707","0.002982213394716382"
