Step,SubCellular + DGL_NeuralFP - training loss,SubCellular + DGL_NeuralFP - training loss__MIN,SubCellular + DGL_NeuralFP - training loss__MAX,SubCellular + DGL_GCN - training loss,SubCellular + DGL_GCN - training loss__MIN,SubCellular + DGL_GCN - training loss__MAX,SubCellular + CNN_RNN - training loss,SubCellular + CNN_RNN - training loss__MIN,SubCellular + CNN_RNN - training loss__MAX,SubCellular + Transformer - training loss,SubCellular + Transformer - training loss__MIN,SubCellular + Transformer - training loss__MAX,SubCellular + CNN - training loss,SubCellular + CNN - training loss__MIN,SubCellular + CNN - training loss__MAX
92,1.205062091,1.069401503,1.34072268,0.258398809,0.189359501,0.327438116,3.22436E-05,2.89081E-06,6.15964E-05,1.153037786,1.143189311,1.162886262,0.011171944,0.008979468,0.013364419
94,1.504349649,1.494841695,1.513857603,0.287884504,0.075165272,0.500603735,0.066542458,0.058441192,0.074643724,0.916358948,0.462877274,1.369840622,0.292753741,0.280245095,0.305262387
96,1.638461053,1.382332087,1.89459002,0.381449267,0.249821514,0.513077021,2.79087E-05,2.30957E-05,3.27216E-05,1.026556134,0.712744713,1.340367556,0.17145816,0.006071488,0.336844832
98,1.784338415,1.634777308,1.933899522,0.633693762,0.193621412,1.073766112,0.000226351,0.000226336,0.000226367,0.677102059,0.661053836,0.693150282,0.05610396,0.003070847,0.109137073
100,1.586851597,1.389086008,1.784617186,0.346256524,0.253848046,0.438665003,0.004815788,0.001033949,0.008597627,1.429612041,1.415585756,1.443638325,0.089112855,0.021969063,0.156256646
102,1.389356852,1.38832736,1.390386343,0.313055396,0.166900188,0.459210604,0.009110096,0.000871722,0.01734847,0.749786824,0.687184155,0.812389493,0.13998232,0.083705783,0.196258858
104,1.373730123,1.31165731,1.435802937,0.317691892,0.302610368,0.332773417,0.021239518,0.000905467,0.041573569,0.795094796,0.237717047,1.352472544,0.001062966,0.000528881,0.001597051
106,1.53273946,1.311082006,1.754396915,0.420589155,0.05535252,0.785825789,0.000440073,0.000403883,0.000476263,0.929094613,0.908581138,0.949608088,0.003265553,0.000663877,0.005867229
108,1.448291957,1.344346285,1.55223763,0.249212839,0.152577326,0.345848352,0.086698603,0.031690277,0.141706929,1.060551852,0.845585406,1.275518298,0.0016548,0.001587744,0.001721856
110,1.394410133,1.369794369,1.419025898,0.129658118,0.077650577,0.181665659,8.13185E-05,7.71467E-05,8.54903E-05,1.220303684,0.864276946,1.576330423,0.014877408,0.00494596,0.024808856
112,1.972992063,1.758950233,2.187033892,0.239088371,0.133578628,0.344598114,0.00170088,7.58396E-05,0.00332592,1.129086196,0.739303827,1.518868566,0.029148607,0.003294938,0.055002276
114,1.329285264,1.311537743,1.347032785,0.209764794,0.160638511,0.258891076,1.95347E-05,1.19E-07,3.89503E-05,1.046733677,0.756889582,1.336577773,0.032793146,0.024031207,0.041555084
116,1.521287739,1.348353028,1.69422245,0.173788019,0.134483457,0.21309258,0.070943983,0.000169309,0.141718656,0.414822202,0.08513733,0.744507074,0.000532495,0.000396602,0.000668388
118,1.158862591,0.922834277,1.394890904,0.661065727,0.504026234,0.818105221,0.000250184,0.000202365,0.000298003,0.469204038,0.410509765,0.527898312,0.211829588,0.169629097,0.254030079
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
