"Step","CRISPR + DGL_GCN - training loss","CRISPR + DGL_GCN - training loss__MIN","CRISPR + DGL_GCN - training loss__MAX","CRISPR + Transformer - training loss","CRISPR + Transformer - training loss__MIN","CRISPR + Transformer - training loss__MAX","CRISPR + CNN_RNN - training loss","CRISPR + CNN_RNN - training loss__MIN","CRISPR + CNN_RNN - training loss__MAX","CRISPR + CNN - training loss","CRISPR + CNN - training loss__MIN","CRISPR + CNN - training loss__MAX"
"20","0.04297450929880142","0.03854787349700928","0.04740114510059357","0.022931871004402637","0.01735648885369301","0.028507253155112267","0.028531281277537346","0.027985870838165283","0.02907669171690941","0.0029898130451329052","0.0019298928091302514","0.004049733281135559"
"22","0.0428389310836792","0.04184390977025032","0.04383395239710808","0.01602039858698845","0.011226920410990715","0.020813876762986183","0.015379455871880054","0.011113451793789864","0.019645459949970245","0.002692536450922489","0.0026220695581287146","0.0027630033437162638"
"24","0.06608300097286701","0.036962080746889114","0.09520392119884491","0.01909949630498886","0.010305525735020638","0.027893466874957085","0.023717945907264948","0.015137963928282261","0.032297927886247635","0.005895556882023811","0.00405593728646636","0.007735176477581263"
"26","0.03660787269473076","0.032512959092855453","0.040702786296606064","0.008712780429050326","0.006578057538717985","0.010847503319382668","0.01762420032173395","0.01283876784145832","0.022409632802009583","0.00420671422034502","0.001768541056662798","0.006644887384027243"
"28","0.04315140284597874","0.03128013014793396","0.055022675544023514","0.02134835533797741","0.020801914855837822","0.021894795820116997","0.016692319652065635","0.006888579111546278","0.02649606019258499","0.007050897227600217","0.004413281101733446","0.009688513353466988"
"30","0.035232651978731155","0.02099081128835678","0.04947449266910553","0.021700100041925907","0.018472105264663696","0.024928094819188118","0.019001977518200874","0.016903119161725044","0.021100835874676704","0.010346969938836992","0.0033390994649380445","0.01735484041273594"
"32","0.030153327621519566","0.022149762138724327","0.038156893104314804","0.018977643456310034","0.01226168405264616","0.025693602859973907","0.01953219063580036","0.016517067328095436","0.022547313943505287","0.007196017308160663","0.004504296462982893","0.009887738153338432"
"34","0.043286627158522606","0.02693019062280655","0.05964306369423866","0.015127952210605145","0.010113539174199104","0.020142365247011185","0.01536962651880458","0.001665001385845244","0.029074251651763916","0.002917759877163917","0.0017301674233749509","0.004105352330952883"
"36","0.05467077158391476","0.0454547293484211","0.06388681381940842","0.013257659506052732","0.009493325836956501","0.017021993175148964","0.0107356917578727","0.007416273932904005","0.014055109582841396","0.005427136085927486","0.0026301443576812744","0.008224127814173698"
"38","0.02433369029313326","0.01959110237658024","0.02907627820968628","0.026191559620201588","0.021371887996792793","0.031011231243610382","0.027612777426838875","0.024689247831702232","0.030536307021975517","0.0065854055574163795","0.0036982137244194746","0.009472597390413284"
"40","0.038355131167918444","0.012205914594233036","0.06450434774160385","0.02479532267898321","0.007988465949892998","0.041602179408073425","0.011751367012038827","0.0070940968580543995","0.016408637166023254","0.0030144472839310765","0.002543778158724308","0.003485116409137845"
"42","0.018734660930931568","0.015896493569016457","0.02157282829284668","0.01617151778191328","0.013417970389127731","0.01892506517469883","0.00943808350712061","0.00908931065350771","0.009786856360733509","0.0042226879158988595","0.0026386433746665716","0.005806732457131147"
"44","0.0327402101829648","0.025881463661789894","0.03959895670413971","0.00993611617013812","0.007990430109202862","0.01188180223107338","0.020297714276239276","0.005908263381570578","0.034687165170907974","0.003464063280262053","0.002566724317148328","0.004361402243375778"
"46","0.032221995294094086","0.026738133281469345","0.037705857306718826","0.01574029168114066","0.012540784664452076","0.018939798697829247","0.01705524418503046","0.010946156457066536","0.023164331912994385","0.0037451930111274123","0.0030377095099538565","0.004452676512300968"
"48","0.029303166083991528","0.01902102120220661","0.039585310965776443","0.015391196589916945","0.010631944052875042","0.020150449126958847","0.01217511692084372","0.005737921688705683","0.018612312152981758","0.003738152328878641","0.0016686515882611275","0.005807653069496155"
"50","0.030246342532336712","0.017012381926178932","0.04348030313849449","0.0074452683329582214","0.0047262199223041534","0.01016431674361229","0.014933039899915457","0.012769748456776142","0.01709633134305477","0.004624680906999856","0.0014245869824662805","0.007824774831533432"
"52","0.027941664680838585","0.026507772505283356","0.029375556856393814","0.022048374637961388","0.008375942707061768","0.03572080656886101","0.018108618445694447","0.017144769430160522","0.01907246746122837","0.0031063819769769907","0.002133299596607685","0.004079464357346296"
"54","0.02986769750714302","0.024914301931858063","0.03482109308242798","0.010219412855803967","0.008204376325011253","0.01223444938659668","0.008000839501619339","0.0010614003986120224","0.014940278604626656","0.001992607198189944","0.0017848227871581912","0.002200391609221697"
