"Step","PPI_Affinity + DGL_GAT - R2","PPI_Affinity + DGL_GAT - R2__MIN","PPI_Affinity + DGL_GAT - R2__MAX","PPI_Affinity + CNN_RNN - R2","PPI_Affinity + CNN_RNN - R2__MIN","PPI_Affinity + CNN_RNN - R2__MAX","PPI_Affinity + Transformer - R2","PPI_Affinity + Transformer - R2__MIN","PPI_Affinity + Transformer - R2__MAX","PPI_Affinity + CNN - R2","PPI_Affinity + CNN - R2__MIN","PPI_Affinity + CNN - R2__MAX"
"25","0.04897008998126051","0.03866899959938147","0.05927118036313955","0.49595322408295434","0.4822935596411069","0.5096128885248018","0.5244380903407897","0.5243958649702792","0.5244803157113002","0.4606311297143354","0.44777497159012436","0.4734872878385464"
"27","0.07842097738220802","0.06018395544643006","0.09665799931798597","0.5151283769968187","0.49802897149038616","0.5322277825032511","0.5328448236771692","0.5279498414551325","0.537739805899206","0.46774306688104245","0.4575200914012395","0.4779660423608454"
"29","0.08955361702669434","0.08758831765922326","0.09151891639416543","0.5163048464477382","0.5093102865343224","0.523299406361154","0.529875239957238","0.5218351591954162","0.5379153207190598","0.4724787430527356","0.4648908512931348","0.48006663481233636"
"31","0.11132540944311081","0.10352587097983695","0.11912494790638467","0.5212828033194121","0.517919995734677","0.5246456109041473","0.534121219799709","0.5315940838767992","0.5366483557226186","0.47849525497456824","0.4741159049113183","0.4828746050378182"
"33","0.11811849656575396","0.11730240788220465","0.11893458524930325","0.5156335948620505","0.49708014748342255","0.5341870422406785","0.5277760719640114","0.5201850138991042","0.5353671300289187","0.4826418800143437","0.48062328320875947","0.48466047681992797"
"35","0.12171555947930723","0.1092142767356613","0.13421684222295316","0.5152372462220259","0.5090788083205617","0.5213956841234901","0.5415251118303012","0.5365923497752723","0.5464578738853301","0.4854476259991703","0.48452493906542404","0.48637031293291655"
"37","0.1393324342651564","0.1278300481834572","0.1508348203468556","0.5212301473327938","0.5138633151232177","0.5285969795423701","0.5413393933000106","0.5386612893213785","0.5440174972786427","0.48800036287198467","0.4866932987121886","0.48930742703178076"
"39","0.17769965638526752","0.1701063652995085","0.18529294747102654","0.5436360178439349","0.5356873119979704","0.5515847236898994","0.541566616391433","0.5403392449704978","0.5427939878123683","0.48880293916282636","0.4882394367127779","0.4893664416128748"
"41","0.17185627441306978","0.15828463160828365","0.1854279172178559","0.5375247178131798","0.5357083356444379","0.5393410999819217","0.5411210209417153","0.537794553770664","0.5444474881127667","0.48967075792149994","0.4874021384818346","0.4919393773611652"
"43","0.20150251218297374","0.19817182551067375","0.20483319885527373","0.5430121305115865","0.54229817918049","0.543726081842683","0.5418873069259817","0.5329437908849202","0.5508308229670433","0.4920933836561249","0.48770346593094716","0.4964833013813027"
"45","0.19122309342763044","0.17287329150446482","0.20957289535079607","0.5386218591163014","0.5294952392936938","0.5477484789389092","0.5398423453787641","0.5330515288377964","0.5466331619197318","0.4925677034802639","0.4916162548848839","0.4935191520756439"
"47","0.2017929486948073","0.20037970824984153","0.20320618913977306","0.5344559284185035","0.5274728202251011","0.541439036611906","0.5401108827069927","0.5333284760717719","0.5468932893422136","0.49434437335186876","0.4911792573807213","0.4975094893230162"
"49","0.20136210755813955","0.19099010094940955","0.21173411416686955","0.552101105929081","0.5472165950764548","0.5569856167817073","0.5396917703371772","0.5287589851354499","0.5506245555389044","0.4956073362493201","0.49260525528172494","0.4986094172169152"
"51","0.20653325795796507","0.20585987784040116","0.20720663807552897","0.5391338948104751","0.5347952862885293","0.5434725033324209","0.5426286040649329","0.5341185084242106","0.5511386997056551","0.49696168018816167","0.49272583192944386","0.5011975284468795"
"53","0.23476547776206055","0.22957306487860957","0.23995789064551154","0.5482747516835186","0.5445600521533998","0.5519894512136374","0.5470366041411014","0.5358204703979413","0.5582527378842617","0.4982576967983072","0.49365723731159494","0.5028581562850195"
