"Step","SAbDab_Liberis + Token_Transformer - F1","SAbDab_Liberis + Token_Transformer - F1__MIN","SAbDab_Liberis + Token_Transformer - F1__MAX","SAbDab_Liberis + Token_CNN_RNN - F1","SAbDab_Liberis + Token_CNN_RNN - F1__MIN","SAbDab_Liberis + Token_CNN_RNN - F1__MAX","SAbDab_Liberis + Token_CNN - F1","SAbDab_Liberis + Token_CNN - F1__MIN","SAbDab_Liberis + Token_CNN - F1__MAX"
"1","0.16927060798356336","0.16883793642522146","0.16970327954190526","0.18441679694285218","0.16050026055237102","0.20833333333333334","0.24329104785478547","0.2376237623762376","0.24895833333333334"
"3","0.17434103614144564","0.171875","0.1768070722828913","0.3632100052110474","0.3460135487232934","0.38040646169880143","0.36477331943720687","0.3491401771756123","0.38040646169880143"
"5","0.18512003353231882","0.1780322748568454","0.19220779220779222","0.40594059405940597","0.39603960396039606","0.4158415841584158","0.4623839376105856","0.45681581685744016","0.4679520583637311"
"7","0.19595651798063624","0.1908713692946058","0.20104166666666667","0.48566961959353827","0.47420531526836895","0.49713392391870764","0.5205836373110995","0.5169359041167274","0.5242313705054716"
"9","0.1984375","0.19791666666666666","0.19895833333333332","0.5310057321521626","0.5200625325690463","0.5419489317352788","0.5450755601875977","0.5409067222511725","0.5492443981240229"
"11","0.20545947855975957","0.20427305888483585","0.2066458982346833","0.5935383011985409","0.5898905680041688","0.597186034392913","0.5653986451276707","0.5638353309015112","0.5669619593538301"
"13","0.1991682909997166","0.19854469854469856","0.19979188345473464","0.6456487754038561","0.6388744137571651","0.6524231370505471","0.5779051589369463","0.5711307972902553","0.5846795205836373"
"15","0.2019258634913636","0.2008324661810614","0.2030192608016658","0.6649296508598228","0.6576341844710787","0.6722251172485669","0.5825951016154247","0.5752996352266806","0.5898905680041688"
"17","0.20675051057637922","0.20499479708636836","0.20850622406639005","0.6800416883793643","0.6753517457008859","0.6847316310578426","0.5904116727462221","0.5857217300677436","0.5951016154247004"
"19","0.20739968733715475","0.20531526836894215","0.20948410630536737","0.6904637832204273","0.6868160500260553","0.6941115164147994","0.5919749869723814","0.5846795205836373","0.5992704533611256"
"21","0.21082629652241847","0.20948410630536737","0.2121684867394696","0.7003647733194371","0.6982803543512246","0.7024491922876498","0.5958383777773377","0.586153045288912","0.6055237102657635"
"23","0.20828410131664352","0.20187304890738814","0.2146951537258989","0.706618030224075","0.7055758207399687","0.7076602397081814","0.5982282438770192","0.5909327774882751","0.6055237102657635"
"25","0.21424856994279773","0.21008840353614144","0.21840873634945399","0.710265763418447","0.7097446586763939","0.7107868681605003","0.5997915581031787","0.594059405940594","0.6055237102657635"
"27","0.21655881460284426","0.20707596253902186","0.22604166666666667","0.7165190203230849","0.7149557060969255","0.7180823345492444","0.6013548723293383","0.597186034392913","0.6055237102657635"
"29","0.214938835294876","0.20499479708636836","0.22488287350338365","0.7175612298071913","0.7170401250651381","0.7180823345492444","0.6044815007816571","0.5982282438770192","0.6107347576862949"
"31","0.21875","0.20833333333333334","0.22916666666666666","0.7212089630015633","0.7212089630015633","0.7212089630015633","0.6023970818134445","0.5982282438770192","0.6065659197498697"
"33","0.2131572901604119","0.2077922077922078","0.21852237252861603","0.7222511724856696","0.7222511724856696","0.7222511724856696","0.6034392912975508","0.6003126628452319","0.6065659197498697"
"35","0.21660891679680722","0.21145833333333333","0.2217595002602811","0.7258989056800417","0.7232933819697759","0.7285044293903075","0.6065659197498697","0.6065659197498697","0.6065659197498697"
"37","0.21869480885324966","0.21644120707596254","0.22094841063053675","0.7279833246482543","0.7253778009379885","0.7305888483585201","0.6065659197498697","0.6055237102657635","0.607608129233976"
"39","0.22089005775577558","0.21782178217821782","0.22395833333333334","0.7248566961959354","0.7243355914538823","0.7253778009379885","0.6070870244919229","0.6065659197498697","0.607608129233976"
"41","0.22279653041254532","0.21886399166232412","0.2267290691627665","0.7248566961959354","0.7243355914538823","0.7253778009379885","0.6060448150078166","0.6044815007816571","0.607608129233976"
"43","0.22291781220643778","0.22071837584591358","0.22511724856696197","0.7285044293903075","0.7274622199062012","0.7295466388744137","0.6091714434601355","0.6086503387180824","0.6096925482021887"
"45","0.22187613907286557","0.22176165803108808","0.22199062011464304","0.7337154768108389","0.7305888483585201","0.7368421052631579","0.6096925482021887","0.6065659197498697","0.6128191766545076"
