"Step","TAP + DGL_GAT - training loss","TAP + DGL_GAT - training loss__MIN","TAP + DGL_GAT - training loss__MAX","TAP + Transformer - training loss","TAP + Transformer - training loss__MIN","TAP + Transformer - training loss__MAX","TAP + CNN_RNN - training loss","TAP + CNN_RNN - training loss__MIN","TAP + CNN_RNN - training loss__MAX","TAP + CNN - training loss","TAP + CNN - training loss__MIN","TAP + CNN - training loss__MAX"
"0","408.2918395996094","71.1201171875","745.4635620117188","2209.1180419921875","2104.534423828125","2313.70166015625","1003.0486755371094","962.1633911132812","1043.9339599609375","2395.013427734375","2362.969970703125","2427.056884765625"
"2","131.92012691497803","16.373624801635742","247.4666290283203","2230.5963134765625","2095.001220703125","2366.19140625","122.4815559387207","99.11859893798828","145.84451293945312","2476.6624755859375","2365.493896484375","2587.8310546875"
"4","158.29607391357422","136.54092407226562","180.0512237548828","2432.24609375","2420.6025390625","2443.8896484375","97.42432403564453","70.76253509521484","124.08611297607422","2304.2781982421875","2297.37158203125","2311.184814453125"
"6","53.37626075744629","46.86956787109375","59.88295364379883","1998.8070678710938","1968.474365234375","2029.1397705078125","64.21278381347656","54.672279357910156","73.75328826904297","2333.5950927734375","2269.5673828125","2397.622802734375"
"8","33.9328727722168","24.417068481445312","43.44867706298828","2081.366455078125","2051.68359375","2111.04931640625","49.564279556274414","32.44120407104492","66.6873550415039","2044.3143310546875","1999.94580078125","2088.682861328125"
"10","19.17864465713501","13.165949821472168","25.19133949279785","1998.0418701171875","1873.59033203125","2122.493408203125","28.597323417663574","24.154680252075195","33.03996658325195","2197.89697265625","2122.944580078125","2272.849365234375"
"12","27.20509147644043","17.629955291748047","36.78022766113281","1906.1984252929688","1844.9459228515625","1967.450927734375","23.451679229736328","17.14491081237793","29.758447647094727","2148.5861206054688","1907.7398681640625","2389.432373046875"
"14","23.512803077697754","7.453065872192383","39.572540283203125","1833.449951171875","1815.8856201171875","1851.0142822265625","24.320279121398926","18.2730655670166","30.36749267578125","2075.727294921875","2051.575927734375","2099.878662109375"
"16","19.64195442199707","15.994245529174805","23.289663314819336","1838.762451171875","1773.8856201171875","1903.6392822265625","17.939990997314453","15.080320358276367","20.79966163635254","1910.9088745117188","1860.6199951171875","1961.19775390625"
"18","17.25982141494751","9.119589805603027","25.400053024291992","1800.793212890625","1748.43017578125","1853.15625","11.161580085754395","9.055910110473633","13.267250061035156","1539.5250854492188","1423.1419677734375","1655.908203125"
"20","13.57178544998169","5.595427513122559","21.54814338684082","1587.361572265625","1569.3638916015625","1605.3592529296875","18.324413299560547","16.401264190673828","20.247562408447266","1201.821533203125","1089.25048828125","1314.392578125"
"22","17.228135585784912","12.262539863586426","22.1937313079834","1605.934814453125","1492.9945068359375","1718.8751220703125","15.49431037902832","14.77127456665039","16.21734619140625","584.5818634033203","480.4176330566406","688.74609375"
"24","11.597577571868896","10.551875114440918","12.643280029296875","1522.0906982421875","1444.9735107421875","1599.2078857421875","10.11571455001831","5.364562034606934","14.866867065429688","223.10626602172852","83.3007583618164","362.9117736816406"
